"ID","Trigger/Event","Phase","GameplayContext","ViewerPersonality","ViewershipEffect","Line","Type","Status","Source"
"B117","proximity_scene_podium","Phase 1-2 (Zone B)","Rope pull 3 backdrop: podium + award + mic","React intent (fearful+humor weighted)","(none)","wonder who was in the audience","line","wired-in-graph","ChatGraph.asset: C2I Scene Podium Pool"
"B118","proximity_scene_podium","Phase 1-2 (Zone B)","Rope pull 3 backdrop: podium + award + mic","React intent (fearful+humor weighted)","(none)","this'd be me if anyone noticed","line","wired-in-graph","ChatGraph.asset: C2I Scene Podium Pool"
"B119","proximity_scene_papers","Phase 1-2 (Zone B)","Rope pull 4 backdrop: chair + table + scattered papers","React intent (fearful+humor weighted)","(none)","someone left in a hurry","line","wired-in-graph","ChatGraph.asset: C2I Scene Papers Pool"
"B120","proximity_scene_papers","Phase 1-2 (Zone B)","Rope pull 4 backdrop: chair + table + scattered papers","React intent (fearful+humor weighted)","(none)","that's literally my desk","line","wired-in-graph","ChatGraph.asset: C2I Scene Papers Pool"
"B121","proximity_scene_papers","Phase 1-2 (Zone B)","MALFORMED in .asset (apostrophe mis-serialized): two list items are the split halves of one intended line","React intent (fearful+humor weighted)","(none)","bro didn","line","wired-in-graph (malformed source; human check)","ChatGraph.asset: C2I Scene Papers Pool"
"B122","proximity_scene_papers","Phase 1-2 (Zone B)","MALFORMED continuation of previous","React intent (fearful+humor weighted)","(none)","t even save {emoji:sad}[1-2]'","template","wired-in-graph (malformed source; human check)","ChatGraph.asset: C2I Scene Papers Pool"
"B123","proximity_scene_papers","Phase 1-2 (Zone B)","Rope pull 4 backdrop: chair + table + scattered papers","React intent (fearful+humor weighted)","(none)","finals week core","line","wired-in-graph","ChatGraph.asset: C2I Scene Papers Pool"
"B124","proximity_scene_papers","Phase 1-2 (Zone B)","Rope pull 4 backdrop: chair + table + scattered papers","React intent (fearful+humor weighted)","(none)","reminds me of when i had to move out fast {emoji:sad}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Papers Pool"
"B125","proximity_scene_papers","Phase 1-2 (Zone B)","Rope pull 4 backdrop: chair + table + scattered papers","React intent (fearful+humor weighted)","(none)","hope they found what they were looking for","line","wired-in-graph","ChatGraph.asset: C2I Scene Papers Pool"
"B126","proximity_scene_rails","Phase 1-2 (Zone B)","Rope pull 5 backdrop: two rails beside a road","React intent (fearful+humor weighted)","(none)","rails go nowhere","line","wired-in-graph","ChatGraph.asset: C2I Scene Rails Pool"
"B127","proximity_scene_rails","Phase 1-2 (Zone B)","Rope pull 5 backdrop: two rails beside a road","React intent (fearful+humor weighted)","(none)","reminds me of how i was adopted {emoji:sad}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Rails Pool"
"B128","proximity_scene_rails","Phase 1-2 (Zone B)","Rope pull 5 backdrop: two rails beside a road","React intent (fearful+humor weighted)","(none)","two paths. neither go anywhere","line","wired-in-graph","ChatGraph.asset: C2I Scene Rails Pool"
"B129","proximity_scene_rails","Phase 1-2 (Zone B)","Rope pull 5 backdrop: two rails beside a road","React intent (fearful+humor weighted)","(none)","me walking home alone {emoji:sad}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Rails Pool"
"B130","proximity_scene_rails","Phase 1-2 (Zone B)","Rope pull 5 backdrop: two rails beside a road","React intent (fearful+humor weighted)","(none)","kinda pretty actually","line","wired-in-graph","ChatGraph.asset: C2I Scene Rails Pool"
"B131","proximity_scene_rails","Phase 1-2 (Zone B)","Rope pull 5 backdrop: two rails beside a road","React intent (fearful+humor weighted)","(none)","why am i emotional rn","line","wired-in-graph","ChatGraph.asset: C2I Scene Rails Pool"
"B132","proximity_scene_tower","Phase 1-2 (Zone B)","Rope pull 6 backdrop: tower + rocking chair + blood splat","React intent (fearful+humor weighted)","(none)","uhh is that blood {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Tower Pool"
"B133","proximity_scene_tower","Phase 1-2 (Zone B)","Rope pull 6 backdrop: tower + rocking chair + blood splat","React intent (fearful+humor weighted)","(none)","nope nope nope {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Tower Pool"
"B134","proximity_scene_tower","Phase 1-2 (Zone B)","Rope pull 6 backdrop: tower + rocking chair + blood splat","React intent (fearful+humor weighted)","(none)","grandma's gone evil","line","wired-in-graph","ChatGraph.asset: C2I Scene Tower Pool"
"B135","proximity_scene_tower","Phase 1-2 (Zone B)","Rope pull 6 backdrop: tower + rocking chair + blood splat","React intent (fearful+humor weighted)","(none)","who was waiting up there","line","wired-in-graph","ChatGraph.asset: C2I Scene Tower Pool"
"B136","proximity_scene_tower","Phase 1-2 (Zone B)","Rope pull 6 backdrop: tower + rocking chair + blood splat","React intent (fearful+humor weighted)","(none)","somebody DIED here {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: C2I Scene Tower Pool"
"B137","proximity_scene_tower","Phase 1-2 (Zone B)","Rope pull 6 backdrop: tower + rocking chair + blood splat","React intent (fearful+humor weighted)","(none)","reminds me of that one christmas {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C2I Scene Tower Pool"
"B138","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","wait did one MOVE {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B139","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","bro the eyes","line","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B140","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","those aren't mannequins {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B141","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","why are they all facing you {emoji:fearful}[2-4]","template","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B142","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","get OUT of there","line","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B143","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","@{prevMessageUser} run dude run","template","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B144","event_mannequin_room_entry_armed (key true)","Phase 2 (Zone B)","Mannequin reveal on entry post-key; sets flag_phone_seen_mannequins","React intent (fearful+humor weighted)","+8 (Reveal Spike)","I hate this I hate this {emoji:fearful}[3-5]","template","wired-in-graph","ChatGraph.asset: C3A Reveal Pool"
"B145","event_mannequin_room_entry_armed","Phase 2 (Zone B)","Mannequin reveal bickering - mild line","two random viewers (VIP then transient)","+8","@{prevMessageUser} they're just plastic chill","template","wired-in-graph","ChatGraph.asset: C3A Reveal Bickering (mildMessages)"
"B146","event_mannequin_room_entry_armed","Phase 2 (Zone B)","Mannequin reveal bickering - initial lines","two random viewers (VIP then transient)","+8","@{prevMessageUser} they literally moved I saw it","template","wired-in-graph","ChatGraph.asset: C3A Reveal Bickering (intenseInitialMessages)"
"B147","event_mannequin_room_entry_armed","Phase 2 (Zone B)","Mannequin reveal bickering - initial lines","two random viewers (VIP then transient)","+8","@{prevMessageUser} the heads are tracking him","template","wired-in-graph","ChatGraph.asset: C3A Reveal Bickering (intenseInitialMessages)"
"B148","event_mannequin_room_entry_armed","Phase 2 (Zone B)","Mannequin reveal bickering - reply lines","two random viewers (VIP then transient)","+8","@{prevMessageUser} mannequins don't move stop coping","template","wired-in-graph","ChatGraph.asset: C3A Reveal Bickering (intenseReplyMessages)"
"B149","event_mannequin_room_entry_armed","Phase 2 (Zone B)","Mannequin reveal bickering - reply lines","two random viewers (VIP then transient)","+8","@{prevMessageUser} open your eyes they're looking AT him {emoji:angry}","template","wired-in-graph","ChatGraph.asset: C3A Reveal Bickering (intenseReplyMessages)"
"B150","event_mannequin_room_entry_armed","Phase 2 (Zone B)","Mannequin reveal bickering - reply lines","two random viewers (VIP then transient)","+8","@{prevMessageUser} you're gaslighting the whole chat rn","template","wired-in-graph","ChatGraph.asset: C3A Reveal Bickering (intenseReplyMessages)"
"B151","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","BRUH {emoji:fearful}[3-5]","template","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B152","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","BEHIND THE DOOR {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B153","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","I just shit myself {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B154","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","NAH NAH NAH {emoji:fearful}[3-5]","template","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B155","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","did anyone else SEE that","line","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B156","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","@{prevMessageUser} GO BACK GO BACK","template","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B157","event_mannequin_door_peek","Phase 2 (Zone B)","Cheap scare: mannequin behind the doorway","React intent (fearful+humor weighted)","+4 (Door Peek Spike)","my heart {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: C3B Door Peek Pool"
"B158","proximity_leave_mannequin_room","Phase 2 (Zone B)","Chat pressures player to descend / leave","React intent (fearful+humor weighted)","(none)","GO GO GO","line","wired-in-graph","ChatGraph.asset: C3C Leave Pressure Pool"
"B159","proximity_leave_mannequin_room","Phase 2 (Zone B)","Chat pressures player to descend / leave","React intent (fearful+humor weighted)","(none)","don't look back {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: C3C Leave Pressure Pool"
"B160","proximity_leave_mannequin_room","Phase 2 (Zone B)","Chat pressures player to descend / leave","React intent (fearful+humor weighted)","(none)","keep moving","line","wired-in-graph","ChatGraph.asset: C3C Leave Pressure Pool"
"B161","proximity_leave_mannequin_room","Phase 2 (Zone B)","Chat pressures player to descend / leave","React intent (fearful+humor weighted)","(none)","out out out","line","wired-in-graph","ChatGraph.asset: C3C Leave Pressure Pool"
"B162","proximity_leave_mannequin_room","Phase 2 (Zone B)","Chat pressures player to descend / leave","React intent (fearful+humor weighted)","(none)","don't turn around {emoji:fearful}[1-2]","template","wired-in-graph","ChatGraph.asset: C3C Leave Pressure Pool"
"B163","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","oh no","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B164","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","oh no no no","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B165","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","HIDE","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B166","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","HIDE NOW","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B167","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","HIDE HIDE HIDE","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B168","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","RUN","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B169","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","NO DONT RUN HIDE","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B170","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","its coming","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B171","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","IT'S COMING","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B172","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","something is moving","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B173","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","holy shit","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B174","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","holy {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B175","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","OMG NO","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B176","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","behind you","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B177","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","get out get out","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B178","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","go go go","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B179","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","HIDE BRO","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B180","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","i can hear it","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B181","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","don't look at it","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B182","entity_going_generator","Phase 2 (Zone C)","Entity chase flood (floodId entity_going_generator); stopped by player_hidden","React intent (rapid flood)","(flood)","why did you start it","line","wired-in-graph","ChatGraph.asset: Start Entity Chase Flood"
"B183","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","WAIT WHAT WAS THAT","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B184","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","did you see it run {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B185","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","it ran around the corner","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B186","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","did anyone else SEE THAT","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B187","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","GO BACK GO BACK","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B188","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","NO DONT FOLLOW IT {emoji:fearful}[2-3]","template","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B189","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","where did it go","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B190","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","I JUST SAW IT MOVE {emoji:fearful}[3-5]","template","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B191","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","that was NOT a person","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B192","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","rewind that","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B193","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","@{prevMessageUser} ITS REAL","template","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B194","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","bro {emoji:fearful}[3-5]","template","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B195","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","it scurried away","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B196","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","it saw you","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B197","entity_scuttle_away","Phase 2 (Zone C)","Entity slips out of frame; chat saw the monster","React intent (fearful+humor weighted)","+5 (Scuttle Away Spike)","im calling the cops","line","wired-in-graph","ChatGraph.asset: Entity Scuttle Away Pool"
"B198","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","THROW IT","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B199","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","yeet it bro","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B200","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","you holding it for nothing? throw","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B201","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","chuck it chuck it chuck it","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B202","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","{0} says you won't throw it {emoji:money}[1-2]","template","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B203","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","cmon it's right there in your hand","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B204","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","THROW {emoji:fire}[2-3]","template","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B205","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","let it fly cinema time","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B206","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","one good throw easy clip","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B207","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object dare banner, shared verbatim across all 5 throwables (50% gate, 30s, not story)","Dare intent (trolling+bravery weighted)","+5 on success","dont be a wuss send it","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Dare (dareBannerMessages)"
"B208","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","LMAOOO {emoji:positive}[2-4]","template","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B209","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","that arc tho","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B210","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","clip it clip it","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B211","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","W throw","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B212","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","did NOT think they'd actually do it","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B213","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","nailed it {emoji:fire}[1-2]","template","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B214","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","CINEMA","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B215","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","someone's getting kicked out fr","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B216","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","ok {0} cooking","template","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B217","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","property damage king","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B218","dare_throw_bottle / _milkshake / _coin / _popcorn / _rock","n/a (flavor dare)","Throw-object success reaction, shared verbatim across all 5 throwables","React intent (fearful+humor weighted)","+5 (Throw Spike)","ABSOLUTE CINEMA","line","wired-in-graph","ChatGraph.asset: Throw {Bottle|Milkshake|Coin|Popcorn|Rock} Reaction"
"B219","event_stream_start","Phase 1 (Zone A)","A.0 Stream goes live","React intent (fearful+humor weighted)","small","first lol","line","doc-only","PROGRESSION_AND_CHAT.md A.0 (L151)"
"B220","event_stream_start","Phase 1 (Zone A)","A.0 Stream goes live","React intent (fearful+humor weighted)","small","another haunted bro?","line","doc-only","PROGRESSION_AND_CHAT.md A.0 (L151)"
"B221","event_stream_start","Phase 1 (Zone A)","A.0 Stream goes live","React intent (fearful+humor weighted)","small","lighting fr","line","doc-only","PROGRESSION_AND_CHAT.md A.0 (L151)"
"B222","event_stream_start","Phase 1 (Zone A)","A.0 Stream goes live","React intent (fearful+humor weighted)","small","LET'S GOOO {emoji:positive}[2-4]","template","doc-only","PROGRESSION_AND_CHAT.md A.0 (L152)"
"B223","idle_timeout","Phase 1 (Zone A)","A.1 Idle warm-up in foyer","React intent (fearful+humor weighted)","small drain","explore bro stop standing","line","doc-only","PROGRESSION_AND_CHAT.md A.1 (L159)"
